Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Time_period,Is_night,Is_weekend,Accident_severity
Monday,18-30,,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,7,40,Morning,0,0,Serious Injury
Monday,18-30,Male,Junior high school,Employee,2-5yr,,Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,7,40,Morning,0,0,Serious Injury
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Self-employed,Normal,Not a Pedestrian,Moving Backward,15,17,Afternoon,0,1,Fatal injury
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Moving Backward,15,17,Afternoon,0,1,Fatal injury
Monday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,No distancing,15,50,Afternoon,0,0,Slight Injury
Monday,18-30,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,No distancing,15,50,Afternoon,0,0,Slight Injury
Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,No distancing,9,45,Morning,0,1,Slight Injury
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,9,45,Morning,0,1,Slight Injury
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,17,35,Evening,0,0,Slight Injury
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,17,35,Evening,0,0,Slight Injury
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,Normal,Not a Pedestrian,Changing lane to the left,17,35,Evening,0,0,Slight Injury
Sunday,18-30,,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,,,Not a Pedestrian,Driving carelessly,20,50,Night,1,1,Slight Injury
Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,20,50,Night,1,1,Slight Injury
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,21,32,Night,1,0,Slight Injury
Thursday,31-50,Male,Elementary school,Employee,5-10yr,,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Other,21,32,Night,1,0,Slight Injury
Monday,18-30,Male,,Employee,,Long lorry,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,19,55,Evening,0,0,Slight Injury
Monday,18-30,Male,,Employee,2-5yr,Public (12 seats),Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,19,55,Evening,0,0,Slight Injury
Monday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,,,,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Parked,Driver,Normal,Not a Pedestrian,No distancing,16,10,Evening,0,0,Slight Injury
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Governmental,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,No distancing,16,10,Evening,0,0,Slight Injury
Monday,31-50,,Junior high school,Employee,Above 10yr,Other,Owner,Below 1yr,, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Overturning,15,25,Afternoon,0,0,Slight Injury
Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Other,,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving at high speed,23,36,Night,1,0,Serious Injury
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,,,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,23,36,Night,1,0,Serious Injury
Thursday,Under 18,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,,Normal,Not a Pedestrian,No priority to pedestrian,23,36,Night,1,0,Serious Injury
Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Other,Owner,,,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No priority to vehicle,23,36,Night,1,0,Serious Injury
Monday,Over 51,Male,Elementary school,Employee,1-2yr,Public (12 seats),Owner,,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Turnover,Driver,Normal,Not a Pedestrian,Other,20,0,Night,1,0,Slight Injury
Monday,31-50,,Elementary school,Employee,5-10yr,Other,Governmental,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Other,20,0,Night,1,0,Slight Injury
Monday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,,No defect,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,20,0,Night,1,0,Slight Injury
Friday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,,Other,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,,,,Not a Pedestrian,No distancing,17,54,Evening,0,0,Slight Injury
Friday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,,, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Moving Backward,17,54,Evening,0,0,Slight Injury
Monday,31-50,,,,5-10yr,Other,Owner,Above 10yr,, Industrial areas,,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,18,4,Evening,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,,No defect,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,Driving carelessly,17,0,Evening,0,0,Slight Injury
Saturday,,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,,,Not a Pedestrian,No distancing,1,15,Night,1,1,Slight Injury
Saturday,18-30,,Elementary school,Employee,Below 1yr,Other,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,Normal,Not a Pedestrian,Other,1,15,Night,1,1,Slight Injury
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,1,15,Night,1,1,Slight Injury
Saturday,18-30,Male,Elementary school,Owner,5-10yr,Public (13?45 seats),Owner,,No defect, Industrial areas,Two-way (divided with broken lines road marking),,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,,Driver,Normal,Not a Pedestrian,No distancing,1,15,Night,1,1,Slight Injury
Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Governmental,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,,,Not a Pedestrian,Driving carelessly,18,30,Evening,0,0,Slight Injury
Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Governmental,,,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,18,30,Evening,0,0,Slight Injury
Friday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,,,,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,15,52,Afternoon,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,15,52,Afternoon,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,15,52,Afternoon,0,0,Slight Injury
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Organization,,,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,No priority to vehicle,12,33,Afternoon,0,0,Serious Injury
Monday,Under 18,,Elementary school,Employee,5-10yr,Pick up upto 10Q,Governmental,2-5yrs,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,8,59,Morning,0,0,Slight Injury
Monday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Turnover,8,59,Morning,0,0,Slight Injury
Saturday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Above 10yr,,Other,other,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driver,Deaf,Not a Pedestrian,Driving to the left,17,25,Evening,0,1,Slight Injury
Sunday,18-30,Male,Elementary school,Employee,,Ridden horse,,,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Driving carelessly,0,53,Night,1,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving to the left,0,53,Night,1,1,Slight Injury
Sunday,18-30,Male,,Employee,5-10yr,Automobile,Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,0,53,Night,1,1,Slight Injury
Wednesday,31-50,Male,Elementary school,Owner,1-2yr,Stationwagen,Owner,2-5yrs,, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driver,Normal,Not a Pedestrian,No priority to pedestrian,15,20,Afternoon,0,0,Slight Injury
Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Driving carelessly,18,23,Evening,0,1,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,,,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,,,Not a Pedestrian,Changing lane to the right,18,23,Evening,0,1,Slight Injury
Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,1-2yr,,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,5,24,Night,1,0,Serious Injury
Saturday,18-30,,Junior high school,Employee,5-10yr,Long lorry,Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,12,15,Afternoon,0,1,Slight Injury
Friday,31-50,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Below 1yr,,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,Student,Normal,Not a Pedestrian,Changing lane to the right,22,15,Night,1,0,Slight Injury
